"Item ID","Item name","Chain","Chain ID","Level","Rarity","Current placeholder path","Required final filename","Required dimensions","Transparency requirements","Producer source","Tasks using the item","Other implemented consumers","Integration status"
"construction_6","Barricade Kit","Construction","construction","6","Uncommon","res://assets/items/construction/level_6.png","res://assets/items/construction/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","","","Final integrated"
"construction_7","Fortified Wall Section","Construction","construction","7","Rare","res://assets/items/construction/level_7.png","res://assets/items/construction/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","","","Final integrated"
"construction_8","Defensive Gate Assembly","Construction","construction","8","Rare","res://assets/items/construction/level_8.png","res://assets/items/construction/level_8.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","construction_producer","","","Final integrated"
"construction_producer","Salvaged Tool Crate","Construction","construction","0","Uncommon","res://assets/items/construction/producer.png","res://assets/items/construction/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces construction_1","","","Final integrated"
"electronics_1","Copper Wire","Electronics","electronics","1","Common","res://assets/items/electronics/level_1.png","res://assets/items/electronics/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","","","Final integrated"
"electronics_2","Electrical Component","Electronics","electronics","2","Common","res://assets/items/electronics/level_2.png","res://assets/items/electronics/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","","data/scavenging/electronics_workshop.tres","Final integrated"
"electronics_3","Circuit Board","Electronics","electronics","3","Common","res://assets/items/electronics/level_3.png","res://assets/items/electronics/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","q_rescue_riley; q_restart_generator; q_restore_library","data/quests/q_rescue_riley.tres; data/quests/q_restart_generator.tres; data/quests/q_restore_library.tres; data/scavenging/electronics_workshop.tres","Final integrated"
"electronics_4","Radio Module","Electronics","electronics","4","Uncommon","res://assets/items/electronics/level_4.png","res://assets/items/electronics/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","q_restart_power_room; q_restore_control_room","data/quests/q_restart_power_room.tres; data/quests/q_restore_control_room.tres; data/vehicles/delivery_van.tres","Final integrated"
"electronics_5","Communication Set","Electronics","electronics","5","Uncommon","res://assets/items/electronics/level_5.png","res://assets/items/electronics/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","","","Final integrated"
"electronics_6","Long-Range Radio","Electronics","electronics","6","Rare","res://assets/items/electronics/level_6.png","res://assets/items/electronics/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","","","Final integrated"
"electronics_7","Haven Network Terminal","Electronics","electronics","7","Rare","res://assets/items/electronics/level_7.png","res://assets/items/electronics/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","electronics_producer","","","Final integrated"
"electronics_producer","Broken Radio Desk","Electronics","electronics","0","Uncommon","res://assets/items/electronics/producer.png","res://assets/items/electronics/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces electronics_1","","","Final integrated"
"energy_reward_1","Energy Spark","Energy","energy_reward","1","Common","res://assets/items/energy_reward/level_1.png","res://assets/items/energy_reward/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_2","Energy Cell","Energy","energy_reward","2","Common","res://assets/items/energy_reward/level_2.png","res://assets/items/energy_reward/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_3","Energy Battery","Energy","energy_reward","3","Common","res://assets/items/energy_reward/level_3.png","res://assets/items/energy_reward/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_4","Energy Core","Energy","energy_reward","4","Uncommon","res://assets/items/energy_reward/level_4.png","res://assets/items/energy_reward/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_5","Energy Array","Energy","energy_reward","5","Uncommon","res://assets/items/energy_reward/level_5.png","res://assets/items/energy_reward/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_6","Energy Reservoir","Energy","energy_reward","6","Rare","res://assets/items/energy_reward/level_6.png","res://assets/items/energy_reward/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"energy_reward_7","Energy Generator","Energy","energy_reward","7","Rare","res://assets/items/energy_reward/level_7.png","res://assets/items/energy_reward/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"food_1","Food Scrap","Food","food","1","Common","res://assets/items/food/level_1.png","res://assets/items/food/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","","","Final integrated"
"food_2","Sealed Snack","Food","food","2","Common","res://assets/items/food/level_2.png","res://assets/items/food/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","q_restock_convenience_store","data/quests/q_restock_convenience_store.tres; data/scavenging/abandoned_grocery_store.tres","Final integrated"
"food_3","Tinned Food","Food","food","3","Common","res://assets/items/food/level_3.png","res://assets/items/food/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","q_clear_mess_hall; q_repair_pantry; q_restock_cafeteria","data/quests/q_clear_mess_hall.tres; data/quests/q_repair_pantry.tres; data/quests/q_restock_cafeteria.tres; data/scavenging/abandoned_grocery_store.tres","Final integrated"
"food_4","Ration Pack","Food","food","4","Uncommon","res://assets/items/food/level_4.png","res://assets/items/food/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","","","Final integrated"
"food_5","Supply Box","Food","food","5","Uncommon","res://assets/items/food/level_5.png","res://assets/items/food/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","","","Final integrated"
"food_6","Community Food Crate","Food","food","6","Rare","res://assets/items/food/level_6.png","res://assets/items/food/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","","","Final integrated"
"food_7","Long-Term Provision Cache","Food","food","7","Rare","res://assets/items/food/level_7.png","res://assets/items/food/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","food_producer","","","Final integrated"
"food_producer","Abandoned Pantry","Food","food","0","Uncommon","res://assets/items/food/producer.png","res://assets/items/food/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces food_1","","","Final integrated"
"fuel_1","Fuel Drip","Fuel","fuel","1","Common","res://assets/items/fuel/level_1.png","res://assets/items/fuel/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","","","Final integrated"
"fuel_2","Small Fuel Bottle","Fuel","fuel","2","Common","res://assets/items/fuel/level_2.png","res://assets/items/fuel/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","q_clear_fuel_pumps","data/quests/q_clear_fuel_pumps.tres; data/scavenging/petrol_station.tres","Final integrated"
"fuel_3","Fuel Can","Fuel","fuel","3","Common","res://assets/items/fuel/level_3.png","res://assets/items/fuel/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","q_clear_ambulance_bay; q_clear_transport_bay","data/quests/q_clear_ambulance_bay.tres; data/quests/q_clear_transport_bay.tres; data/scavenging/petrol_station.tres; data/vehicles/delivery_van.tres","Final integrated"
"fuel_4","Sealed Fuel Drum","Fuel","fuel","4","Uncommon","res://assets/items/fuel/level_4.png","res://assets/items/fuel/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","","","Final integrated"
"fuel_5","Travel Fuel Supply","Fuel","fuel","5","Uncommon","res://assets/items/fuel/level_5.png","res://assets/items/fuel/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","","","Final integrated"
"fuel_6","Emergency Fuel Reserve","Fuel","fuel","6","Rare","res://assets/items/fuel/level_6.png","res://assets/items/fuel/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","","","Final integrated"
"fuel_7","Settlement Fuel Stockpile","Fuel","fuel","7","Rare","res://assets/items/fuel/level_7.png","res://assets/items/fuel/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","fuel_producer","","","Final integrated"
"fuel_producer","Fuel Shed","Fuel","fuel","0","Uncommon","res://assets/items/fuel/producer.png","res://assets/items/fuel/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces fuel_1","","","Final integrated"
"medical_1","Dirty Cloth","Medical","medical","1","Common","res://assets/items/medical/level_1.png","res://assets/items/medical/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","","Final integrated"
"medical_2","Clean Bandage","Medical","medical","2","Common","res://assets/items/medical/level_2.png","res://assets/items/medical/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","data/scavenging/medical_clinic.tres","Final integrated"
"medical_3","First Aid Pack","Medical","medical","3","Common","res://assets/items/medical/level_3.png","res://assets/items/medical/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","q_rescue_imogen; q_rescue_lena; q_rescue_noah; q_secure_pharmacy","data/quests/q_rescue_imogen.tres; data/quests/q_rescue_lena.tres; data/quests/q_rescue_noah.tres; data/quests/q_secure_pharmacy.tres; data/scavenging/medical_clinic.tres","Final integrated"
"medical_4","Trauma Kit","Medical","medical","4","Uncommon","res://assets/items/medical/level_4.png","res://assets/items/medical/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","","Final integrated"
"medical_5","Field Medic Case","Medical","medical","5","Uncommon","res://assets/items/medical/level_5.png","res://assets/items/medical/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","","Final integrated"
"medical_6","Emergency Surgery Kit","Medical","medical","6","Rare","res://assets/items/medical/level_6.png","res://assets/items/medical/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","","Final integrated"
"medical_7","Mobile Clinic Supply","Medical","medical","7","Rare","res://assets/items/medical/level_7.png","res://assets/items/medical/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","medical_producer","","","Final integrated"
"medical_producer","Field Medical Bag","Medical","medical","0","Uncommon","res://assets/items/medical/producer.png","res://assets/items/medical/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces medical_1","","","Final integrated"
"token_reward_1","Bent Token","Coins and currencies","token_reward","1","Common","res://assets/items/token_reward/level_1.png","res://assets/items/token_reward/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"token_reward_2","Token Pouch","Coins and currencies","token_reward","2","Common","res://assets/items/token_reward/level_2.png","res://assets/items/token_reward/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","data/scavenging/radio_relay_station.tres","Final integrated"
"token_reward_3","Token Case","Coins and currencies","token_reward","3","Common","res://assets/items/token_reward/level_3.png","res://assets/items/token_reward/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","data/scavenging/radio_relay_station.tres","Final integrated"
"token_reward_4","Token Cache","Coins and currencies","token_reward","4","Uncommon","res://assets/items/token_reward/level_4.png","res://assets/items/token_reward/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"token_reward_5","Token Reserve","Coins and currencies","token_reward","5","Uncommon","res://assets/items/token_reward/level_5.png","res://assets/items/token_reward/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"token_reward_6","Token Vault","Coins and currencies","token_reward","6","Rare","res://assets/items/token_reward/level_6.png","res://assets/items/token_reward/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"token_reward_7","Signal Seal","Coins and currencies","token_reward","7","Rare","res://assets/items/token_reward/level_7.png","res://assets/items/token_reward/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Reward/scavenging grants; collected from board","","","Final integrated"
"tool_1","Bent Nail","Tools","tool","1","Common","res://assets/items/tool/level_1.png","res://assets/items/tool/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","","","Final integrated"
"tool_2","Nail Pack","Tools","tool","2","Common","res://assets/items/tool/level_2.png","res://assets/items/tool/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","q_clear_living_room","data/quests/q_clear_living_room.tres; data/scavenging/farm_shed.tres","Final integrated"
"tool_3","Rusty Hammer","Tools","tool","3","Common","res://assets/items/tool/level_3.png","res://assets/items/tool/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","q_repair_service_bay; q_restart_boiler; q_restore_fireplace","data/quests/q_repair_service_bay.tres; data/quests/q_restart_boiler.tres; data/quests/q_restore_fireplace.tres; data/scavenging/farm_shed.tres","Final integrated"
"tool_4","Repair Tool Set","Tools","tool","4","Uncommon","res://assets/items/tool/level_4.png","res://assets/items/tool/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","pq_noah_workbench; q_repair_guard_tower; q_restore_surgical_suite","data/quests/pq_noah_workbench.tres; data/quests/q_repair_guard_tower.tres; data/quests/q_restore_surgical_suite.tres","Final integrated"
"tool_5","Carpenter's Kit","Tools","tool","5","Uncommon","res://assets/items/tool/level_5.png","res://assets/items/tool/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","","","Final integrated"
"tool_6","Heavy Construction Kit","Tools","tool","6","Rare","res://assets/items/tool/level_6.png","res://assets/items/tool/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","","","Final integrated"
"tool_7","Master Workshop Case","Tools","tool","7","Rare","res://assets/items/tool/level_7.png","res://assets/items/tool/level_7.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","tool_producer","","","Final integrated"
"tool_producer","Damaged Workshop Bench","Tools","tool","0","Uncommon","res://assets/items/tool/producer.png","res://assets/items/tool/producer.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","Starter producer; produces tool_1","","","Final integrated"
"trap_1","Wire","Traps","trap","1","Common","res://assets/items/trap/level_1.png","res://assets/items/trap/level_1.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","","","Final integrated"
"trap_2","Tripwire","Traps","trap","2","Common","res://assets/items/trap/level_2.png","res://assets/items/trap/level_2.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","","data/scavenging/police_checkpoint.tres","Final integrated"
"trap_3","Noise Trap","Traps","trap","3","Common","res://assets/items/trap/level_3.png","res://assets/items/trap/level_3.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","q_install_perimeter_traps; q_reinforce_perimeter_fence; q_secure_admin_office; q_secure_armory; q_secure_records_office","data/quests/q_install_perimeter_traps.tres; data/quests/q_reinforce_perimeter_fence.tres; data/quests/q_secure_admin_office.tres; data/quests/q_secure_armory.tres; data/quests/q_secure_records_office.tres; data/scavenging/police_checkpoint.tres","Final integrated"
"trap_4","Snare Trap","Traps","trap","4","Uncommon","res://assets/items/trap/level_4.png","res://assets/items/trap/level_4.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","q_rescue_caleb","data/quests/q_rescue_caleb.tres","Final integrated"
"trap_5","Spike Trap","Traps","trap","5","Uncommon","res://assets/items/trap/level_5.png","res://assets/items/trap/level_5.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","","","Final integrated"
"trap_6","Perimeter Defence Kit","Traps","trap","6","Rare","res://assets/items/trap/level_6.png","res://assets/items/trap/level_6.png","256x256 RGBA PNG; subject within shared 210x210 safe area; high-resolution source retained","Transparent corners/background; soft contact shadow retained; no matte fringe","trap_producer","","","Final integrated"
