Animation ID,Object/Scene,Existing file path,Current placeholder type,Required final animation,Required dimensions or format,Visual states,Required separated layers,Audio requirements,Existing trigger,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
ANIM_VEHICLE_RUNTIME,Delivery van,scripts/vehicle/vehicle_visual.gd,Final illustrated stage rig integrated,Retain engine/exhaust/suspension/door-light/headlights/wheel/dust/radio system,512x512 state textures plus bounded runtime layers,Stages 0-8; reduced motion; off-screen,Current/previous art; wheels; door light; lamps; radio; exhaust; dust,Vehicle upgrade/engine SFX,Existing vehicle_stage_changed,Already acceptable,Yes,Already acceptable
ANIM_PRODUCER_FEEDBACK,Salvaged Tool Crate,scenes/merge_board/merge_board.gd; scripts/merge/item_view.gd,Final state textures and Tween,Activation/empty/recharge feedback,Runtime Control plus 256x256 states,Normal/selected/active/low-charge/empty/recharge/upgraded,Crate state textures,producer_activate/producer_empty/producer_recharge,Existing producer result,High,Yes,Already acceptable
ANIM_INVALID_MERGE,Merge item,scenes/merge_board/merge_board.gd,Implemented position shake,Retain with invalid rim/VFX and sound,Godot Tween plus 128x128 overlay,Invalid attempt,Item; red invalid rim,merge_invalid,Yes invalid merge,High,Yes,High
ANIM_MERGE_SUCCESS_GENERIC,Merge board,scenes/merge_board/merge_board.gd,Generic procedural expanding ring,Replace with chain-themed merge burst families,6-8 frame 256x256 atlases or bounded particles,Construction/clothing/electronics/food/fuel/medical/tool/trap/vehicle/reward,Glow; chain particles; result item,merge,Yes successful merge,Critical,Yes; use existing success trigger,Critical
ANIM_PRODUCER_OPEN,All producers,scripts/merge/item_icon_renderer.gd; scenes/merge_board/merge_board.gd,Static procedural producer symbol,Open/activate/spawn/close sequence per producer family,6-10 frame 256x256 atlas or separated cutout,Ready/cooldown/exhausted,Base; lid/door; contents; glow; spawned item,producer_activate; item_spawn,Partial activate call exists,Critical,Yes; animation only around existing spawn,Critical
ANIM_ITEM_DRAG_DROP,Merge board,scripts/merge/item_view.gd,No dedicated drag/drop animation,Pickup lift/drag shadow/valid-target/drop settle,Godot Tween and state overlays,Idle/dragging/valid/invalid/drop,Item; shadow; target highlight,item_pickup; item_drop,Input exists; visual hooks needed,High,Yes; do not change input resolution,High
ANIM_COBWEB_CLEAR,Merge board,scripts/merge/item_icon_renderer.gd,Static procedural cobweb overlay,Cobweb tear/dissolve clear effect,6-8 frame 256x256 alpha atlas,Cobweb/clearing/clear,Cobweb; dust strands,cobweb_clear,Gameplay state exists; playback hook needed,Medium,Yes visual-state hook only,Medium
ANIM_BUBBLE_POP,Merge board,scripts/merge/item_icon_renderer.gd,Static procedural bubble ring,Bubble wobble/pop/reward settle,6-8 frame 256x256 alpha atlas,Bubble/selected/popped,Bubble; sheen; pop particles,bubble_pop,Gameplay state exists; playback hook needed,Medium,Yes visual-state hook only,Medium
ANIM_REWARD_COLLECT,Reward items,scenes/merge_board/merge_board.gd,No dedicated collect flight,Reward reveal then icon flight to resource counter,Godot Tween plus 256x256 particles,Coin/energy/token/XP reward,Item; glow; particle trail,reward_reveal; resource collect,Reward collection exists; playback hook needed,High,Yes; observe existing reward event,High
ANIM_DISCOVERY_BANNER,Discovery banner,scenes/ui/discovery_banner.gd,Implemented alpha fade,Upgrade to scale/light reveal with queue-safe exit,Godot Tween plus optional particles,Item/reward discovery,Frame; icon; rays,discovery; reward_reveal,Yes first discovery,High,Yes,High
ANIM_HOTSPOT_BURST,All residences,scripts/residence/hotspot_visual.gd,Generic six-dot procedural dust burst,Replace with material-specific bounded particles,6-10 frame 256x256 atlas or particles,Wood/metal/glass/electric/medical/concrete,Debris; dust; sparks; completion badge,task_complete plus material foley,Yes task completion,High,Yes,High
ANIM_REPAIR_SEQUENCE,Residence repairs,not created; storyboard concept exists,Missing; only generic burst,Camera focus/survivor approach/action/pieces attach/state settle/camera return,Layered cutout animation; 24-30 fps source,Per hotspot material and reduced-motion,Environment hotspot; survivor; tools; repair parts; particles,hammer/saw/tool/debris/task_complete,Completion signal exists; sequence controller needed,Critical,Yes; visual sequencing must not delay reward logic,Critical
ANIM_ENV_HOLLOW_CREEK,Hollow Creek exterior,scenes/haven/haven_background.gd,Static procedural scene,Cloud/rain/grass/light/smoke/parallax ambience,Layered 720x1280 scene,Weather/day/repair progression,Sky; clouds; structure; vegetation; lights; foreground; weather,wind/rain/fire/room tone,Scene lifecycle exists,Critical,Yes,Critical
ANIM_ENV_REDWATER,Redwater exterior,scenes/redwater/redwater_background.gd,Static procedural scene,Cloud/dust/sign/fuel/light/parallax ambience,Layered 720x1280 scene,Dusk/repair progression,Sky; clouds; station; signs; dust; lights; foreground,wind/forecourt/generator,Scene lifecycle exists,Critical,Yes,Critical
ANIM_ENV_GREYBRIDGE,Greybridge exterior,scenes/greybridge/greybridge_background.gd,Static procedural scene,Cloud/fence/radio beacon/parallax ambience,Layered 720x1280 scene,Overcast/repair progression,Sky; clouds; school; fence; beacon; foreground,wind/school/radio,Scene lifecycle exists,Critical,Yes,Critical
ANIM_ENV_SAINT_MERCY,Saint Mercy exterior,scenes/saint_mercy/saint_mercy_background.gd,Static procedural scene,Rain/emergency-light/electrical/parallax ambience,Layered 720x1280 scene,Night/powered/repair progression,Sky; rain; hospital; lights; foreground,electrical hum/rain/medical ambience,Scene lifecycle exists,Critical,Yes,Critical
ANIM_ENV_NORTHGATE,Northgate exterior,scenes/northgate/northgate_background.gd,Static procedural scene,Dawn/searchlight/wire/flag/parallax ambience,Layered 720x1280 scene,Dawn/repair progression,Sky; wall; tower; light; wire; foreground,wind/metal/gate ambience,Scene lifecycle exists,Critical,Yes,Critical
ANIM_MAP_MARKER_PULSE,World map,scenes/world_map/world_map.gd,Implemented scale Tween,Retain with owned pulse ring and active-state polish,Godot Tween plus 128x128 overlay,Active/available/completed/reduced motion,Marker; pulse ring,map marker select,Yes visible active marker,High,Yes,High
ANIM_MAP_ROUTE_REVEAL,World map,scenes/world_map/world_map.gd,Missing; route always drawn,Draw-on reveal and travel trace for newly unlocked route,Curve2D/Line2D shader or masked texture,Locked/revealing/open/traveling,Base route; reveal mask; travel marker,route_reveal; travel,Story unlock signal exists; playback hook needed,High,Yes; do not change unlock logic,High
ANIM_TOAST,Toast,scenes/ui/toast.gd,Implemented alpha fade,Refine with slide/scale and type icon while preserving queue behavior,Godot Tween,Info/success/warning/error/reduced motion,Frame; icon; text,toast type cue,Yes EventBus toast,Medium,Yes,Medium
ANIM_UI_BUTTONS,All production controls,scripts/ui/theme_factory.gd,Style state only; no production micro-motion,Press/depress/focus/disabled feedback with bounded scale/light,Godot Tween/theme states,Normal/hover/pressed/focus/disabled,Frame; fill; highlight,ui_button/ui_error,Button signals exist,High,Yes,High
ANIM_UI_PANELS,Task/storage/item/dialogue/settings panels,scenes/ui/*.tscn,Mostly instant visibility changes,Open/close slide or scale with reduced-motion fade,Godot Tween,Opening/open/closing/closed,Panel; shadow; contents,ui_panel_open/ui_panel_close,Visibility calls exist; hooks needed,High,Yes,High
ANIM_RESOURCE_COUNTERS,Top resource bar,scenes/ui/top_resource_bar.gd,Instant number/progress changes,Count tween/pulse/gain-loss flash and low-energy warning,Godot Tween plus small overlays,Gain/loss/low/full/level-up,Counter; meter; glow; warning badge,resource_gain/resource_spend/level_up,EventBus signals exist,High,Yes,High
ANIM_SURVIVOR_PORTRAIT_ALL,All six survivors,scripts/ui/survivor_silhouette.gd; assets/art/characters/*/portraits,Final expression portraits and AnimationPlayer,Idle/blink/look/talk/expression transitions,512x512 authored portraits; runtime AnimationPlayer,8 expressions; speaking; afraid; injured,Head and bust portrait plus expression variants,existing dialogue UI cues,Dialogue entry display drives expression and speaking,Critical,Yes; presentation only,Already acceptable
ANIM_SURVIVOR_ACTION_ALL,All six survivors,scripts/ui/layered_character_rig.gd; assets/art/characters/*/poses; */rig,Final composite poses plus separated production layers,Walk/run/carry/hammer/saw/search/radio/treat/vehicle/celebrate/fear/injured/defend,512x1024 poses and runtime AnimationPlayer,17 named action states,Head; torso; arms; legs; feet,existing scene audio remains authoritative,Haven actor states connected; remaining hooks callable without outcome control,High,Yes; visual state translation only,Already acceptable
ANIM_HOLLOW_DRIFTER,Drifter,scripts/ui/layered_character_rig.gd; assets/art/enemies/drifter_hollow,Final authored state poses and runtime AnimationPlayer,Idle sway/slow walk/detect/attack/hit/trap/collapse/distant wander,512x1024 transparent state PNGs,8 action states,Head; torso; arms; legs; feet,existing Hollow cues remain authoritative,Hollow Creek distant wandering connected,High,Yes,Already acceptable
ANIM_HOLLOW_SCREECHER,Screecher,not created,Missing,Idle/slow move/scream/attack/hit/trap/collapse/distant wander,256x256 frames or cutout rig,Action states,Body/head/jaw/limbs/clothing/shadow,screecher cue family,Defence visual event hooks needed,High,Yes,High
ANIM_HOLLOW_BREAKER,Breaker,not created,Missing,Idle/heavy walk/charge/attack/hit/trap/collapse/distant wander,384x384 frames or cutout rig,Action states,Body/head/arms/limbs/clothing/shadow,breaker cue family,Defence visual event hooks needed,High,Yes,High
ANIM_HOLLOW_LURKER,Lurker,not created,Missing,Idle/crawl/notice/lunge/hit/trap/collapse/distant wander,256x256 frames or cutout rig,Action states,Body/head/limbs/clothing/debris/shadow,lurker cue family,Defence visual event hooks needed,High,Yes,High
ANIM_HOLLOW_RUNNER,Runner,not created,Missing,Idle/run/notice/attack/hit/trap/collapse/distant wander,256x256 frames or cutout rig,Action states,Body/head/limbs/clothing/shadow,runner cue family,Defence visual event hooks needed,High,Yes,High
ANIM_HOLLOW_BLOATER,Bloater,not created,Missing,Idle/heavy move/attack/gas/hit/trap/collapse/distant wander,384x384 frames or cutout rig,Action states,Body/head/limbs/clothing/gas/shadow,bloater cue family,Defence visual event hooks needed,High,Yes,High
ANIM_DEFENCE_SEQUENCE,Defence screen,scenes/defence/defence.gd,No visual sequence; panel swap only,Threat approach/choice action/Hollow impact/trap/barricade/outcome sequence,Layered 720x800 encounter stage,Preparation/encounter/success/failure/damaged,Environment; survivors; Hollow; barricade; traps; VFX; foreground,defence_warning/impacts/Hollow/traps/result,Choice and result already exist,Critical,Yes; playback observes resolved result,Critical
ANIM_VEHICLE_SET,Delivery van,scripts/vehicle/vehicle_visual.gd,Final illustrated stage rig with screen motion,Retain engine start/exhaust/suspension/wheels/headlights/door-light/dust; connect map travel in world-map batch,Layered 512x512 stage rig,Stages 0-8; idle; upgrade test,Stage art; wheels; door light; lamps; radio; exhaust; dust,vehicle cue family,Existing stage and upgrade events connected,Medium,Yes,Medium
ANIM_VEHICLE_UPGRADE,Vehicle screen,scenes/vehicle/vehicle.gd; scripts/vehicle/vehicle_visual.gd,Event-driven final stage transition,Retain crossfade/install wash/ignition/inspection/drive test,Godot Tween plus bounded particles,Can upgrade; upgrading; complete,Previous/current vehicle; door light; wheels; sparks-style wash; exhaust,door/headlights/start/exhaust/success,Existing successful upgrade result,Already acceptable,Yes; existing trigger only,Already acceptable
ANIM_SCAVENGE_FLOW,Scavenging screen,scenes/scavenging/scavenging.gd,Instant panel swaps,Launch/travel/encounter-choice/success-failure/loot reveal,Layered 720x800 stage plus Tweens,Preparation/encounter/success/failure,Location; survivor; threat; choices; loot; outcome,scavenging/footsteps/threat/loot/result,Launch/choice/result exist,Critical,Yes; do not alter chance resolution,Critical
