Asset ID,Existing file path,Scene using it,Current placeholder type,Required final asset,Required dimensions,Transparency requirements,Visual states,Required separated layers,Animation requirements,Audio requirements,Replacement priority,Whether replacement can occur without altering gameplay logic,Classification
ENV_GREYBRIDGE,scenes/greybridge/greybridge_background.gd,scenes/greybridge/greybridge.tscn,Flat geometric procedural school,Layered illustrated Greybridge School progression,1440x2560 source; 720x1280 runtime,Layer PNGs require alpha,Abandoned; repaired; defence-ready; defended,Sky; distance; school/gym; damage; hotspots; foreground; lighting; weather,Cloud drift; radio beacon; repair transitions,wind; school ambience; radio static; repair foley,Critical,Yes; keep residence and hotspot IDs,Critical
ENV_SAINT_MERCY,scenes/saint_mercy/saint_mercy_background.gd,scenes/saint_mercy/saint_mercy.tscn,Flat geometric procedural hospital,Layered illustrated Saint Mercy Hospital progression,1440x2560 source; 720x1280 runtime,Layer PNGs require alpha,Abandoned; powered; repaired; defended,Sky; distance; hospital; ambulance bay; damage; hotspots; foreground; emergency lighting; weather,Emergency-light flicker; rain; repair transitions,rain; electrical hum; medical ambience; generator; repair foley,Critical,Yes; keep residence and hotspot IDs,Critical
ENV_NORTHGATE,scenes/northgate/northgate_background.gd,scenes/northgate/northgate.tscn,Flat geometric procedural prison,Layered illustrated Northgate Prison progression,1440x2560 source; 720x1280 runtime,Layer PNGs require alpha,Abandoned; repaired; defence-ready; defended,Sky; distance; wall/cell block/tower; damage; hotspots; foreground; lighting; weather,Dawn shift; searchlight; flag/wire motion; repair transitions,wind; metal ambience; gate; repair foley,Critical,Yes; keep residence and hotspot IDs,Critical
MAP_WORLD,scenes/world_map/world_map_background.gd,scenes/world_map/world_map.tscn,Flat paper fill/random dots/polyline,Illustrated Dead Haven regional map with authored terrain and route network,1440x2560 source; 720x1280 runtime,Marker/route overlays require alpha,Unknown; locked; available; active; completed; mission active,Base map; terrain; roads; route overlays; fog/locked mask; markers; labels,Marker pulse; route reveal; travel trace,map music; paper tap; route reveal,Critical,Yes; preserve marker IDs/coordinates,Critical
HOTSPOTS_HOLLOW_CREEK,scripts/residence/hotspot_visual.gd; data/residences/hollow_creek_farmhouse.tres,scenes/haven/haven.tscn,Procedural rectangles/lines/polygons for 9 hotspots,Illustrated before/after overlays for front door kitchen window living room fireplace pantry bedroom barn rear fence perimeter,256x256 source per state; 128x128 runtime,Yes,Destroyed; completed; optional under-repair,Base object; damage; repair additions; highlight; completion badge,Full repair transition template plus reduced-motion dissolve,construction hammer/saw/board/debris; task_complete,Critical,Yes; bind to existing state enum and tapped signal,Critical
HOTSPOTS_REDWATER,scripts/residence/hotspot_visual.gd; data/residences/redwater_service_station.tres,scenes/redwater/redwater.tscn,Procedural rectangles/lines/polygons for 8 hotspots,Illustrated before/after overlays for all Redwater hotspots,256x256 source per state; 128x128 runtime,Yes,Destroyed; completed; optional under-repair,Base object; damage; repair additions; highlight; completion badge,Repair transition template,generator/fuel/metal/tool foley; task_complete,Critical,Yes; bind to existing state enum and tapped signal,Critical
HOTSPOTS_GREYBRIDGE,scripts/residence/hotspot_visual.gd; data/residences/greybridge_school.tres,scenes/greybridge/greybridge.tscn,Procedural rectangles/lines/polygons for 8 hotspots,Illustrated before/after overlays for all Greybridge hotspots,256x256 source per state; 128x128 runtime,Yes,Destroyed; completed; optional under-repair,Base object; damage; repair additions; highlight; completion badge,Repair transition template,wood/metal/radio/boiler foley; task_complete,Critical,Yes; bind to existing state enum and tapped signal,Critical
HOTSPOTS_SAINT_MERCY,scripts/residence/hotspot_visual.gd; data/residences/saint_mercy_hospital.tres,scenes/saint_mercy/saint_mercy.tscn,Procedural rectangles/lines/polygons for 8 hotspots,Illustrated before/after overlays for all Saint Mercy hotspots,256x256 source per state; 128x128 runtime,Yes,Destroyed; completed; optional under-repair,Base object; damage; repair additions; highlight; completion badge,Repair transition template,glass/electric/medical/debris foley; task_complete,Critical,Yes; bind to existing state enum and tapped signal,Critical
HOTSPOTS_NORTHGATE,scripts/residence/hotspot_visual.gd; data/residences/northgate_prison.tres,scenes/northgate/northgate.tscn,Procedural rectangles/lines/polygons for 8 hotspots,Illustrated before/after overlays for all Northgate hotspots,256x256 source per state; 128x128 runtime,Yes,Destroyed; completed; optional under-repair,Base object; damage; repair additions; highlight; completion badge,Repair transition template,gate/metal/concrete/tool foley; task_complete,Critical,Yes; bind to existing state enum and tapped signal,Critical
ITEM_CONSTRUCTION,data/items/construction_*.tres; assets/items/construction/*,merge board/task/item info/vehicle,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-8 plus Salvaged Tool Crate producer,256x256 RGBA source and runtime,Yes,Normal; selected; task-required; producer ready/cooldown/exhausted,Item; shadow; optional highlight; producer lid,Merge burst; producer open/spawn; reward collect,wood merge variants; crate open; hammer,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_CLOTHING,data/items/clothing_*.tres; assets/items/clothing/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus clothing producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; optional highlight,Merge fibers; producer open/spawn,fabric merge; rustle; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_ELECTRONICS,data/items/electronics_*.tres; assets/items/electronics/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus electronics producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; optional glow; producer lid,Merge sparks; producer open/spawn,electrical merge; sparks; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_FOOD,data/items/food_*.tres; assets/items/food/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus food producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; producer lid,Merge crumbs; producer open/spawn,food/container foley; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_FUEL,data/items/fuel_*.tres; assets/items/fuel/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus fuel producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; optional sheen; producer lid,Merge glint; producer open/spawn,metal/liquid foley; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_MEDICAL,data/items/medical_*.tres; assets/items/medical/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus medical producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; producer lid,Merge clean flash; producer open/spawn,medical packaging foley; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_TOOL,data/items/tool_*.tres; assets/items/tool/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus tool producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; metal highlight; producer lid,Merge metal sparks; producer open/spawn,tool clink/merge; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_TRAP,data/items/trap_*.tres; assets/items/trap/*,merge board/task/item info,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus trap producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; hazard highlight; producer lid,Merge snap/sparks; producer open/spawn,trap click/snap; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_VEHICLE_PARTS,data/items/vehicle_parts_*.tres; assets/items/vehicle_parts/*,merge board/task/item info/vehicle,Final illustrated PNG set integrated; procedural fallback unused,Illustrated levels 1-7 plus parts producer,256x256 RGBA source and runtime,Yes,Normal and board overlays,Item; shadow; grease/metal highlight; producer lid,Merge metal sparks; producer open/spawn,metal/ratchet merge; pickup,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_COIN_REWARD,data/items/coin_reward_*.tres; assets/items/coin_reward/*,merge board/discovery/rewards,Final illustrated PNG set integrated; procedural fallback unused,Illustrated coin reward levels 1-7,256x256 RGBA source and runtime,Yes,Normal; reward; collected,Item; glow; particles,Reward reveal and collect,coin jingle; reward reveal,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_ENERGY_REWARD,data/items/energy_reward_*.tres; assets/items/energy_reward/*,merge board/discovery/rewards,Final illustrated PNG set integrated; procedural fallback unused,Illustrated energy reward levels 1-7,256x256 RGBA source and runtime,Yes,Normal; reward; collected,Item; glow; particles,Reward reveal and collect,energy zap; reward reveal,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_TOKEN_REWARD,data/items/token_reward_*.tres; assets/items/token_reward/*,merge board/discovery/rewards,Final illustrated PNG set integrated; procedural fallback unused,Haven Token reward levels 1-7 matching original brand,256x256 RGBA source and runtime,Yes,Normal; reward; collected,Item; glow; particles,Reward reveal and collect,token chime; reward reveal,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
ITEM_XP_REWARD,data/items/xp_reward_*.tres; assets/items/xp_reward/*,merge board/discovery/rewards,Final illustrated PNG set integrated; procedural fallback unused,Illustrated XP reward levels 1-7,256x256 RGBA source and runtime,Yes,Normal; reward; collected,Item; glow; particles,Reward reveal and collect,XP rise; level-up sting,Already acceptable,Yes; existing icon_path and item IDs preserved,Already acceptable
CHAR_MARA,assets/art/characters/mara_vale; scripts/ui/survivor_silhouette.gd,survivors/dialogue/Hollow Creek,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Yes,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
CHAR_NOAH,assets/art/characters/noah_vance; scripts/ui/survivor_silhouette.gd,survivors/dialogue/Hollow Creek,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Yes,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
CHAR_LENA,assets/art/characters/lena_ortiz; scripts/ui/survivor_silhouette.gd,survivors/dialogue,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Yes,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
CHAR_RILEY,assets/art/characters/riley_chen; scripts/ui/survivor_silhouette.gd,survivors/dialogue,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Mixed alpha or authored parchment matte,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
CHAR_IMOGEN,assets/art/characters/imogen_shaw; scripts/ui/survivor_silhouette.gd,survivors/dialogue,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Yes,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
CHAR_CALEB,assets/art/characters/caleb_rusk; scripts/ui/survivor_silhouette.gd,survivors/dialogue,Final original artwork integrated,8 portraits plus poses/outfits/layers,512x512 portraits; 512x1024 poses,Mixed alpha or authored parchment matte,Neutral/concerned/angry/afraid/relieved/injured/exhausted/determined; residence/scavenging,Head/torso/arms/legs/feet,17-state presentation rig,existing audio unchanged,Critical,Yes; data untouched,Already acceptable
HOLLOW_DRIFTER,assets/art/enemies/drifter_hollow; scripts/ui/layered_character_rig.gd,Hollow Creek/future defence presentation,Final original production artwork integrated,12 transparent state poses plus separated layers,512x1024,Yes,Idle/move/detect/attack/hit/trap/collapse/distant,Head/torso/arms/legs/feet,8-state presentation rig,existing Hollow audio unchanged,High,Yes; gameplay outcome untouched,Already acceptable
HOLLOW_SCREECHER,not created,defence/future encounters,Missing entirely,Original Screecher production sprite/rig,256x256 per frame or 2048 atlas,Yes,Idle/move/attack/hit/trap/collapse/distant,Body/head/jaw/limbs/clothing/shadow,Full Hollow animation set,screech; idle; attack; hit,High,Yes; attach to defence visual events,High
HOLLOW_BREAKER,not created,defence/future encounters,Missing entirely,Original Breaker production sprite/rig,384x384 per frame or 2048 atlas,Yes,Idle/move/attack/hit/trap/collapse/distant,Body/head/arms/limbs/clothing/shadow,Full Hollow animation set,heavy steps; growl; impact; hit,High,Yes; attach to defence visual events,High
HOLLOW_LURKER,not created,defence/future encounters,Missing entirely,Original Lurker production sprite/rig,256x256 per frame or 2048 atlas,Yes,Idle/crawl/attack/hit/trap/collapse/distant,Body/head/limbs/clothing/debris/shadow,Full Hollow animation set,crawl; breath; attack; hit,High,Yes; attach to defence visual events,High
HOLLOW_RUNNER,not created,defence/future encounters,Missing entirely,Original Runner production sprite/rig,256x256 per frame or 2048 atlas,Yes,Idle/run/attack/hit/trap/collapse/distant,Body/head/limbs/clothing/shadow,Full Hollow animation set,run; snarl; attack; hit,High,Yes; attach to defence visual events,High
HOLLOW_BLOATER,not created,defence/future encounters,Missing entirely,Original Bloater production sprite/rig,384x384 per frame or 2048 atlas,Yes,Idle/move/attack/hit/trap/collapse/distant,Body/head/limbs/clothing/gas particles/shadow,Full Hollow animation set,wet breath; move; gas; collapse,High,Yes; attach to defence visual events,High
VEHICLE_DELIVERY_VAN,data/vehicles/delivery_van.tres; scripts/vehicle/vehicle_visual.gd,scenes/vehicle/vehicle.tscn,Final illustrated nine-stage state set integrated,Retain final locked delivery-van progression,1254x1254 atlas; 512x512 runtime per stage,Opaque,Undiscovered; stages 0-8; active/disabled upgrade,Stage art; door light; wheels; lamps; radio pulse; exhaust; dust,Engine start/idle/wheel test/doors/suspension/dust; map movement in world-map batch,engine/door/headlights/exhaust/vehicle ambience,Already acceptable,Yes; existing stage and requirements preserved,Already acceptable
UI_FONT_SYSTEM,Godot built-in default font,all production screens,Default Godot typography,Licensed display and interface font families with dynamic text support,OTF/TTF variable or required weights,N/A,Display/body/button/numeric/accessibility weights,None,None,None,Critical,Yes; Theme resource only,Critical
UI_GLOBAL_THEME,scripts/ui/theme_factory.gd,all production screens,Flat StyleBox colors and default controls,Complete dark-metal/wood/parchment mobile UI skin,9-slice sources 128-512px,Nine-slice alpha as required,Normal/hover/pressed/focus/disabled/locked/high-contrast/color-blind,Frame/fill/highlight/shadow/rivet assets,Button/panel open micro-motion,ui_button/ui_back/ui_error,Critical,Yes; preserve control signals,Critical
UI_TOP_RESOURCE_BAR,scenes/ui/top_resource_bar.tscn,all main gameplay screens,Flat panel; emoji/glyph icons; default progress bars,Illustrated resource bar and owned icon set,720x76 layout; 128x128 icon sources,Icons yes,XP/energy values; notification off/on; low resource,Frame; icons; meters; badges,Counter pop; meter tween; notification pulse,resource tick; notification; level_up,Critical,Yes; retain labels and event signals,Critical
UI_BOTTOM_NAV,scenes/ui/bottom_nav.tscn,all main gameplay screens,Flat buttons with five emoji icons,Dark framed five-tab navigation with owned icons,720x88 layout; 128x128 icon sources,Icons yes,Normal/active/pressed/disabled/notification,Frame; five icons; active plates; badges,Press/selection slide or glow,ui_button/ui_tab,Critical,Yes; retain route keys and buttons,Critical
UI_MAIN_MENU,scenes/main_menu/main_menu.tscn,main menu,Default buttons over procedural art,Branded title plate and production menu button stack,720x1280 responsive; 9-slice controls,As required,New game/continue disabled-enabled/settings/quit/focus,Title; subtitle; button frames; footer,Entrance stagger; focus/press,menu music; ui_button; ui_back,Critical,Yes; retain button callbacks,Critical
UI_RESIDENCE_HEADER,scenes/haven/haven.tscn; scenes/redwater/redwater.tscn; scenes/greybridge/greybridge.tscn; scenes/saint_mercy/saint_mercy.tscn; scenes/northgate/northgate.tscn,all residence screens,Plain labels over art,Dark framed location/chapter/progress header,720x112 responsive,Frame may use alpha,Normal; defence-ready; completed,Frame; title rule; progress emblem,Progress update; milestone glow,progress tick; defence warning,High,Yes; retain labels and progress logic,High
UI_HOTSPOT_MARKER,scripts/residence/hotspot_visual.gd,all residence screens,Boxed geometric symbol,Illustrated unobtrusive interactive hotspot marker,128x128 source; 64x64 runtime,Yes,Destroyed/available/selected/completed/locked,Plate; icon; state rim; badge,Pulse/select/complete burst,ui_select; task_complete,Critical,Yes; retain tapped signal,Critical
UI_TASK_PANEL,scenes/ui/task_panel.tscn,residences/survivors,Default dark panel and procedural item icon,Parchment repair/task card with item equation and actions,640x900 max responsive; 9-slice,Panel corners/icons yes,Can complete/cannot complete/repaired/error,Frame; parchment; item slot; reward strip; buttons,Open/close; completion stamp,ui_panel; ui_button; task_complete,High,Yes; retain quest calls and buttons,High
UI_MERGE_BOARD_FRAME,scenes/merge_board/merge_board.tscn,merge board,Flat dark grid and default header,Production 7x9 board frame with exact live geometry,720x900 board region; scalable 9-slice,Overlay textures yes,Normal/storage open/task highlight,Outer frame; tray; cell bed; corner hardware,Board entrance; subtle idle light,merge_board music; board open,Critical,Yes; do not alter grid dimensions,Critical
UI_BOARD_CELL,scripts/merge/board_cell.gd; scripts/merge/item_view.gd,merge board,Flat bordered cells and procedural overlays,Final cell and state-overlay set,128x128 source; runtime derived from 7x9 grid,Yes,Empty/occupied/selected/valid/invalid/locked/cobweb/reward/bubble/task/rare/max,Base cell; rim; each overlay; highlight,Select/drop/merge/invalid/bubble/cobweb,select/drop/merge/invalid/bubble,Critical,Yes; retain cell indices and input,Critical
UI_CHAIN_LEGEND,scripts/merge/chain_legend_icon.gd,merge board,Procedural category swatch,Owned illustrated chain-filter icons and selected frame,96x96 source; 48-64px runtime,Yes,Normal/selected/task-highlighted,Icon; plate; selection rim,Selection feedback,ui_tab,High,Yes; retain chain IDs/tapped signal,High
UI_STORAGE_PANEL,scenes/ui/storage_panel.tscn,merge board,Default panel/grid/buttons,Production storage drawer and slots,640x1000 max responsive; 9-slice,Slots/icons yes,Closed/open/empty/occupied/full/selected,Drawer frame; slots; handle; buttons,Slide open/close; transfer feedback,storage open/close; item transfer,High,Yes; retain storage calls,High
UI_ITEM_INFO_PANEL,scenes/ui/item_info_panel.tscn,merge board/task,Default modal and procedural icon,Production parchment item detail card,640x900 max responsive,Frame/icon yes,Normal/max/reward/producer/cooldown,Frame; icon well; rarity plate; action strip,Open/close; action feedback,ui_panel; sell/delete/collect,High,Yes; retain item actions,High
UI_DISCOVERY_BANNER,scenes/ui/discovery_banner.tscn,merge board,Flat panel with procedural icon,Illustrated first-discovery reward banner,640x220 responsive,Yes,Item/reward variants,Frame; rays; icon well; reward badge,Existing fade plus reveal burst,discovery; reward_reveal,High,Yes; retain discovery signal,High
UI_WORLD_MARKERS,scenes/world_map/world_map.tscn; scenes/world_map/world_map.gd,world map,Emoji buttons and flat squares,Owned illustrated residence/mission/vehicle marker set,128x128 source; 64-96px runtime,Yes,Locked/available/active/completed/mission/vehicle,Marker plate; icon; lock; completion; pulse ring,Pulse; reveal; selection,map select; route reveal,Critical,Yes; retain marker IDs/coordinates,Critical
UI_SURVIVOR_CARD,scenes/survivors/survivors.tscn; scenes/survivors/survivors.gd,survivors,Flat cards and generic silhouette,Production portrait card and status badges,320x420 source/card responsive,Portrait mask/badges yes,Locked/recruited/selected/injured/assigned/quest-ready,Frame; portrait mask; role plate; skill icons; badges,Card reveal; selection; quest-ready pulse,card reveal; ui_select,Critical,Yes; retain survivor IDs and quest buttons,Critical
UI_DIALOGUE,scenes/dialogue/dialogue.tscn; scenes/dialogue/dialogue.gd,dialogue,Black field; generic silhouette; plain labels/buttons,Layered cinematic dialogue presentation with portrait and parchment text,720x1280 layout; 1024 portraits,Portrait/background layers as required,Speaker/no speaker/continue/choices/emotion,Background; midground; character; foreground; portrait frame; speaker plate; text panel; choices,Blink/breath/talk; entry transition; choice feedback,dialogue_advance; dialogue_choice; radio_static,Critical,Yes; retain entry IDs/branch logic,Critical
UI_SCAVENGING,scenes/scavenging/scavenging.tscn; scenes/scavenging/scavenging.gd,scavenging,Default grey preparation/encounter/outcome panels,Illustrated scavenging flow with location/reward/survivor presentation,720x1280; location art 1440x1200,Art layers/icons yes,Preparation/encounter/success/failure,Location; survivor; threat badges; choices; rewards; outcome overlay,Launch/travel; choice; reward/failure reveal,scavenging music; footsteps; encounter; reward/failure,Critical,Yes; retain mission and chance logic,Critical
UI_DEFENCE,scenes/defence/defence.tscn; scenes/defence/defence.gd,defence,Default grey text panels only,Illustrated defence flow with survivors/Hollow/barricades/traps,720x1280; scene art 1440x1600,Art layers/sprites yes,Preparation/encounter/success/failure/damage,Environment; barricade; survivors; Hollow; traps; foreground; UI panels,Threat approach; attacks; trap hits; outcome,defence music; warning; Hollow; impacts; success/failure,Critical,Yes; retain event resolution timing/outcome,Critical
UI_VEHICLE,scenes/vehicle/vehicle.tscn; scenes/vehicle/vehicle.gd,vehicle,Final weathered vehicle upgrade presentation integrated,Retain illustrated stage frame and dynamic requirement UI,720x1280 and tall Android verified,Vehicle and native UI layers,Undiscovered; stages 0-8; can upgrade; cannot upgrade; complete,Illustrated vehicle; stage card; requirement strip; controls,Stage reveal; install wash; engine test,vehicle cues and engine ambience,Already acceptable,Yes; upgrade requirements and stage retained,Already acceptable
UI_SETTINGS,scenes/settings/settings.tscn; scenes/settings/settings.gd,settings,Default sliders/checks/option and flat sections,Production settings skin with clear grouped hierarchy,720x1280 responsive; 9-slice controls,Icons/handles yes,On/off/normal/focus/disabled/high-contrast,Section headers; sliders; toggles; dropdown; buttons,Control feedback only,ui_button/ui_toggle/ui_slider,High,Yes; retain settings keys and callbacks,High
UI_TOAST,scenes/ui/toast.tscn; scenes/ui/toast.gd,all screens,Flat panel with fade,Production compact notification toast,640x120 responsive,Yes,Info/success/warning/error,Frame; icon; text area,Existing fade refined,toast/info/success/warning/error,Medium,Yes; retain event signal,Medium
UI_DEV_DIAGNOSTICS,scenes/dev_diagnostics/dev_diagnostics.tscn,debug only,Default black/white debug controls,Readable debug skin consistent enough for internal use,720x1280 responsive,No,Normal/disabled/result,None,None,ui_button optional,Minor,Yes,Minor
SCAV_LOCATION_SET,data/scavenging/*.tres; no art paths,world map/scavenging,Ten locations represented by one emoji marker and text,Ten original location illustrations plus reward thumbnails,1440x1200 source; 720x600 runtime each,Optional foreground alpha,Available/locked/selected/in progress/success/failure,Background; structure; threat silhouettes; foreground; lighting,Ambient loop; travel reveal; success/failure overlay,location ambience; footsteps; threat; loot,Critical,Yes; preserve mission IDs and rewards,Critical
